,Person.var_capitalMu,Person.var_capitalSigma,Person.var_happinessMu,Person.var_happinessSigma,Person.var_salaryMu,Person.var_salarySigma,Person.var_total_value_destroyedMu,Person.var_total_value_destroyedSigma
Bakery.var_goodwillSigma,0.10352843703429584,0.03746356129418422,-0.03705706895396856,-0.08700410841625086,-0.019690757772347352,0.020186964488404832,-0.054220491808260926,0.0036109542728257693
Bakery.var_total_value_destroyedMu,-0.022113422733093448,0.04314643262778028,0.003978949752706828,-0.13299117761950274,0.011101943771897863,-0.0873844340197505,0.012408531792562627,0.07164881488024746
Bakery.var_total_value_destroyedSigma,-0.031617230266215685,-0.026675776840425373,0.008025503005941691,0.011516866518171569,-0.07756467390848547,-0.030691061840233947,-0.04316159176921858,0.02817054831575578
Bakery.var_valueProducedMu,0.02941494912426946,0.1284039214284148,-0.07322320879429804,-0.019368381616630456,0.08553627267049453,-0.041586650959636935,0.06320076326433603,0.11087410721577486
Bakery.var_valueProducedSigma,0.039609716547588075,-0.02005009308591748,0.11075246455818913,0.0329427238279231,-0.0879293315935173,0.02833518200519083,0.04289803502611088,-0.039389461576806055
CattleFarm.var_capitalMu,0.00294123660992605,-0.04264423131925865,-0.07050758135447176,0.05871383935775238,0.014883852661146967,0.09838817569228202,0.04371535994363046,0.006018833734832461
CattleFarm.var_capitalSigma,-0.03370674377371357,-0.03248585787034123,0.06025071402328118,0.12840076171649253,-0.11637646739349866,-0.04153654266869543,0.00770404744140163,0.06783560878867467
CattleFarm.var_employeesMu,-0.07431579276867016,0.10441983200042952,0.018080727346565975,-0.07990141815448193,0.0047071819626165095,0.12247213025936135,-0.080386640896661,0.02467441313164364
CattleFarm.var_employeesSigma,-0.22590012672994847,-0.1674249133260353,-0.07115063505508933,0.17098417780749783,0.10345310879437905,-0.04579465046062792,0.21529857968573676,0.1689850041076941
CattleFarm.var_goodwillMu,0.0360401840902176,0.05882969127548022,-0.035169879331525614,-0.017483256815377386,0.005666401319508974,0.08481761321578256,0.030298825428476017,-0.03178627179383812
CattleFarm.var_goodwillSigma,-0.060437184635633766,0.01541870558062883,0.04573847441320917,-0.07195135284570651,-0.006182205823666411,-0.03151335251988091,-0.06670790485120019,0.04767114070136374
CattleFarm.var_total_value_destroyedMu,0.05842271538431969,-0.06075716186132343,-0.050085677209738694,0.0788599353560779,0.006518834844482041,0.0029693280887132583,-0.14394275962296968,-0.004091697672967095
CattleFarm.var_total_value_destroyedSigma,-0.09255368888696154,-0.016531182774584954,-0.1174973594722154,0.007624324396361826,-0.08970711905778969,0.029280354978257605,-0.012594234388390597,0.061913366875990965
CattleFarm.var_valueProducedMu,0.017085793321053134,0.06638874914129185,0.11243191494286207,0.029651285202963704,-0.029937349438699593,-0.09167961699303824,-0.02176168058591179,0.0674547642045036
CattleFarm.var_valueProducedSigma,0.00571169102030332,-0.042442269778929356,-0.1122218038534001,-0.009771019211166583,-0.054238341872707,-0.0016937100166321511,0.07403792793615394,0.019976320375675306
OilField.var_capitalMu,0.020617222325442983,0.033594888539941165,0.07406541288250572,0.017683044691032896,-0.0005064113014850855,-0.013550877658876286,0.11804940667933264,0.0013763919814030402
OilField.var_capitalSigma,-0.024815932399990293,0.0708508479230908,0.012210068335111957,-0.07458401495667158,-0.0013440788597770337,0.05956157527242763,0.14169540221796298,0.16047383280977948
OilField.var_employeesMu,-0.037552942876105694,-0.09024007305399796,0.01387080370891828,0.00456540343806413,-0.022170340488749787,-0.0271156521383795,-0.05644903306579989,-0.03226682589464755
OilField.var_employeesSigma,0.0383510525865873,-0.023956319687072028,-0.038844608175364954,0.005399365909403023,-0.008902599214544072,-0.019843060053254476,-0.06860756253148528,-0.0414728275074753
OilField.var_goodwillMu,0.015020958808734927,-0.03944002485602391,0.06267994097895252,-0.008631188638947827,-0.03711933669413612,-0.03169874921417944,-0.027685742169169383,-0.03925825352726572
OilField.var_goodwillSigma,-0.0210660436213343,0.10425034437953831,-0.04311208600407704,0.020295723467274627,0.03266893791203008,0.051357083769293016,0.05395149853474114,0.04509635215074223
OilField.var_total_value_destroyedMu,0.05367421022383531,0.1003716612419295,0.0401790559000592,-0.008528683223029104,-0.03380104805135024,0.07855837124675838,-0.0983188220230147,-0.0010947498270771534
OilField.var_total_value_destroyedSigma,-0.15952579651227788,-0.015197573740935702,-0.08481762871122668,-0.06907522867811165,-0.021886996098013645,0.08255457173816072,-0.025772103162696566,0.021904100542000045
OilField.var_valueProducedMu,0.028445682975343518,0.007024392441136165,-0.004315904537720803,0.019975853858235457,0.03549299512642834,-0.040537247479703914,0.07691571503079113,-0.06822441495921588
OilField.var_valueProducedSigma,-0.08211486855168952,-0.17097924131552436,-0.06916304694484048,-0.0224481208292929,-0.03496448828280777,-0.07843696253755049,-0.10059013755147217,-0.08428000901540335
Refinery.var_capitalMu,-0.11900678078865033,-0.034081400643713046,-0.09961722647102948,-0.036951188350617246,0.06887315586962216,0.20026056166682615,-0.14347191439477935,-0.05211101127721951
Refinery.var_capitalSigma,0.05133671140193738,0.09324467005607975,0.01488862148727891,-0.06885762418429334,0.20684644237808128,0.156799223678017,-0.07417974340901684,-0.06237500389255243
Refinery.var_employeesMu,0.03369086760875506,0.08318004844496096,-0.03512852327565303,0.030711304921868045,-0.14292037339018035,-0.10693192138762055,-0.11544170907606553,-0.030905006128905094
Refinery.var_employeesSigma,-0.01995080474653707,0.006843188644708402,0.007676103583292583,-0.08282431448573045,-0.031252115371829564,0.11505302472591165,0.03413573751945046,-0.008120199397524522
Refinery.var_goodwillMu,0.06112725819083278,0.005224118385472576,-0.028619947142386398,0.08558322215252775,0.06214196948036431,-0.02981919083345246,-0.012334464656957636,-0.013419645694391767
Refinery.var_goodwillSigma,0.016495908619255952,0.07978832305855786,-0.02752872922601526,-0.04389906062160428,-0.05749223887080229,0.012246400116655348,0.07950762238520187,0.010956440705377742
Refinery.var_total_value_destroyedMu,0.027816054456239376,0.07590794903783467,-0.04237090022541921,0.09019908623389278,-0.015492790819605324,0.009671533581976728,0.05110748942566911,0.02789152996784007
Refinery.var_total_value_destroyedSigma,-0.04700818855682906,-0.023603368363128246,0.03867990764577391,0.02795190509540704,-0.017018289962706948,-0.14503134929361927,0.0679063695815688,0.06173219796320979
Refinery.var_valueProducedMu,-0.07352782754133351,-0.008406070533682131,0.09628672538947909,0.022384814462043403,-0.22859319676282747,-0.08898626758094043,-0.02115688031693738,-0.09380634962927614
Refinery.var_valueProducedSigma,0.18500123503299076,0.0651281692003251,-0.10100422059507479,0.02252661555737007,0.09765350720858447,-0.044192271920901256,-0.019214016532769048,0.2595413306892791
