gl_capitalMu,gl_goodwillMu,gl_happinessMu,gl_total_value_destroyedMu,gl_valueProducedMu
-979060.087868969,15890992.0588235,-7334.14421116963,36354446.4295719,7093745.20588235
-979060.087869101,39366446.3529412,-7825.98378336214,39088751.0306426,10644979.6764706
-979060.087869022,60271222.6176471,-6523.54528068834,37800619.478057,11538500.2941176
-979060.087869136,86963852.9411765,-6086.52389031401,37911594.0302716,7982246.82352941
-979060.087869031,110439307.235294,-5800.07469245305,41506302.3505854,7093745.20588235
-979060.087868704,134998935.558824,-6369.58271384342,41291828.5160146,11538500.2941176
-979060.087868552,19738072.3235294,-6620.75383683807,44931531.7617277,11538500.2941176
-979060.087869348,48083917.6470588,-6387.74314165091,43708709.77296,10644979.6764706
-979060.087869242,68563057.9705882,-7080.12282079529,43676103.3562262,11538500.2941176
-979060.087869087,94404416.4117647,-6195.79126999316,44010643.1035135,10644979.6764706
-979060.087869272,116068409.735294,-7001.61479940492,48420695.3570182,7093745.20588235
-979060.087868929,7150798.38235294,-6985.47576197177,45155992.5676283,8875767.44117647
-979060.087869203,28029907.6764706,-6681.47576197177,47435889.2252049,11538500.2941176
-979060.087868829,55950117.0588235,-7736.72709887016,50108362.2110707,10644979.6764706
-1340011.88596057,38825386.4638889,-3949.93127004465,51485.8162884945,77208.7222222222
-1340011.88596058,12941917.6305555,-3578.74806393778,1392312.58822861,41460542.2222222
-1340011.88596058,31274072.7490909,-1140.59539218206,5172862.05334264,46871678.5194444
-1340011.88596057,47013148.0824242,983.595447512598,11011661.9569251,49004322.1935353
-1340011.88596057,14255528.1935353,4054.39697423016,19866709.8508873,49004322.1935353
-1340011.88596058,30860835.1935354,5760.07636354313,26047969.5888325,49004322.1935353
-1340011.88596058,46599910.5268687,8265.48857728359,34591530.1568259,49004322.1935353
-1340011.88596058,15495240.860202,9728.95422613856,42703431.9578516,49004322.1935353
-1340011.88596057,30447014.3804041,11771.3359055279,51868378.1568005,49003738.9359596
-1340011.88596057,46186089.7137374,14264.5725467492,56740721.2450613,49003738.9359596
-1340011.88596057,15081420.0470707,18903.2901040012,67981825.3985821,49003738.9359596
-1340011.88596056,31686727.0470707,21685.4580429324,74148297.7497291,49003738.9359596
-1340011.88596057,45773435.4157576,23448.3511727034,80419303.5055625,49003738.9359596
-1340011.88596059,14668765.7490909,26288.7557528561,87795013.5183381,49004322.1935353
-1340011.88596057,31274072.7490909,28065.7557528561,93513256.6834745,49004322.1935353
-1340011.88596057,47013148.0824242,31707.6336154515,101567544.773361,49004322.1935353
-1340011.88596056,14255528.1935353,34248.938958963,112895039.036546,49004322.1935353
-1340011.88596055,30860835.1935354,37096.1679665966,121179145.031667,49004322.1935353
-1340011.88596055,46599910.5268687,39371.7481192683,127712803.982595,49004322.1935353
-1340011.88596055,15495240.860202,41909.3282719401,137254139.227675,49004322.1935353
-1340011.88596057,30447014.3804041,43644.3282719401,143408356.804468,49003738.9359596
-1340011.88596056,46186089.7137374,45214.6565162149,149875334.341924,49003738.9359596
-1340011.88596058,15081420.0470707,50675.6259818638,160083357.379995,49003738.9359596
-1340011.88596053,31686727.0470707,52482.7175849172,167297131.177251,49003738.9359596
-1340011.88596054,45773435.4157576,55157.8091879706,176467822.002834,49003738.9359596
-1340011.88596053,14668765.7490909,57143.8168215584,179795408.405958,49004322.1935353
-1340011.88596054,31274072.7490909,61566.938958963,190922186.574585,49004322.1935353
-1340011.88596059,47013148.0824242,62024.2443024744,198903294.795476,49004322.1935353
-1340011.88596058,14255528.1935353,65031.7633864439,208361598.461822,49004322.1935353
-1340011.88596058,30860835.1935354,68826.9542261386,215423996.296031,49004322.1935353
-1340011.88596051,46599910.5268687,73045.3817070546,221248799.467947,49004322.1935353
-1340011.88596059,15494657.6026262,77758.3588062912,231420384.936236,49004322.1935353
-1340011.88596061,30447014.3804041,80365.7404856805,240364548.658764,49003738.9359596
-1340011.88596056,46186089.7137374,83974.3359055279,248160837.244826,49003738.9359596
-1340011.88596054,15081420.0470707,83876.6412490394,253539019.578661,49003738.9359596
-1340011.88596062,31686727.0470707,88674.114531482,261877808.995122,49003738.9359596
-1340011.8859606,45773435.4157576,89622.0916307187,270015717.686662,49003738.9359596
-1340011.88596058,14668765.7490909,91298.7404856805,279566840.168582,49004322.1935353
-1340011.88596066,31274072.7490909,93420.9542261385,286385069.393008,49004322.1935353
-1340011.88596058,47013148.0824242,95599.6565162149,295273764.963204,49004322.1935353
-1340011.88596068,14255528.1935353,98410.5878139248,303349011.153015,49004322.1935353
-1340011.88596057,30860835.1935354,102311.290104001,311051192.136967,49004322.1935353
-1340011.88596061,46599910.5268687,102952.961859726,317342448.665302,49004322.1935353
-1340011.88596064,15494657.6026263,105641.503844459,326613352.935906,49004322.1935353
