const_consumed,const_itersMu,const_itersSigma,const_number,const_produced,const_salaryMu,const_salarySigma,const_time,var_capitalMu,var_employeesMu,var_goodwillMu,var_total_value_destroyedMu,var_valueProducedMu
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-2.7200457276473827E9,39.0,7.5112385E7,5.427428490533057E7,2.7406779E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-3.3174135051473827E9,39.0,2.2461465125E8,6.512906115533057E7,2.7406779E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-3.8981814606473827E9,39.0,3.6167223425E8,7.598383740533058E7,2.7406779E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-4.468054122647384E9,39.0,7.5112385E7,9.769338990533058E7,2.813043075E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-5.054532578897384E9,39.0,2.2461465125E8,1.0854816615533058E8,2.813043075E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-5.641011035147384E9,39.0,3.6456684125E8,1.1940294240533058E8,2.813043075E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-6.227489491397384E9,39.0,7.5112385E7,1.3025771865533058E8,2.813043075E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-6.824857268897384E9,39.0,2.2461465125E8,1.4111249490533057E8,2.7406779E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-7.405625224397383E9,39.0,3.6456684125E8,1.5486187815533057E8,2.7406779E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-7.975532431397383E9,39.0,7.5112385E7,1.7367682365533057E8,2.7406779E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-8.562010887647383E9,39.0,2.2461465125E8,1.8453159990533057E8,2.813043075E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-9.148489343897383E9,39.0,3.6456684125E8,1.9538637615533057E8,2.813043075E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-9.734967800147383E9,39.0,7.5112385E7,2.0624115240533057E8,2.813043075E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-1.0332335577647383E10,39.0,2.2461465125E8,2.1709592865533057E8,2.7406779E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-1.0913103533147383E10,39.0,3.6456684125E8,2.3084531190533057E8,2.7406779E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-1.1483010740147383E10,39.0,7.5112385E7,2.4966025740533057E8,2.7406779E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-1.2069489196397383E10,39.0,2.2461465125E8,2.6051503365533057E8,2.813043075E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-1.2655967652647383E10,39.0,3.6456684125E8,2.713698099053306E8,2.813043075E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-1.3230915500147383E10,39.0,6.425760875E7,2.822245861553306E8,2.813043075E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-1.3839779341397383E10,39.0,2.2461465125E8,2.930793624053306E8,2.813043075E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-1.4420547296897383E10,39.0,3.6456684125E8,3.068287456553306E8,2.7406779E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-1.4990454503897383E10,39.0,7.5112385E7,3.256436911553306E8,2.7406779E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-1.5576967505147383E10,39.0,2.2461465125E8,3.364984674053306E8,2.7406779E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-1.6163445961397383E10,39.0,3.6456684125E8,3.473532436553306E8,2.813043075E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-1.6738393808897383E10,39.0,6.425760875E7,3.582080199053306E8,2.813043075E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-1.734725765014738E10,39.0,2.2461465125E8,3.690627961553306E8,2.813043075E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-1.792802560564738E10,39.0,3.6456684125E8,3.828121794053306E8,2.7406779E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-1.849793281264738E10,39.0,7.5112385E7,4.016271249053306E8,2.7406779E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-1.908444581389738E10,39.0,2.2461465125E8,4.124819011553306E8,2.7406779E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-1.967092427014738E10,39.0,3.6456684125E8,4.233366774053306E8,2.813043075E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-2.024587211764738E10,39.0,7.5112385E7,4.450462299053306E8,2.813043075E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-2.083235057389738E10,39.0,2.13759875E8,4.450462299053306E8,2.813043075E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-2.143546936939738E10,39.0,3.6456684125E8,4.587956131553306E8,2.813043075E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-2.200537657639738E10,39.0,7.5112385E7,4.776105586553306E8,2.7406779E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-2.259188957764738E10,39.0,2.2461465125E8,4.884653349053306E8,2.7406779E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-2.318925735514738E10,39.0,3.6456684125E8,4.993201111553306E8,2.7406779E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-2.375335042639738E10,39.0,7.5112385E7,5.210296636553306E8,2.813043075E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-2.433982888264738E10,39.0,2.13759875E8,5.210296636553306E8,2.813043075E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-2.494294767814738E10,39.0,3.6456684125E8,5.347790469053306E8,2.813043075E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-2.551285488514738E10,39.0,7.5112385E7,5.535939924053305E8,2.7406779E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-2.609936788639738E10,39.0,2.2461465125E8,5.644487686553305E8,2.7406779E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-2.669673566389738E10,39.0,3.6456684125E8,5.753035449053305E8,2.7406779E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-2.726082873514738E10,39.0,7.5112385E7,5.970130974053305E8,2.813043075E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-2.784730719139738E10,39.0,2.2461465125E8,6.078678736553305E8,2.813043075E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-2.843378564764738E10,39.0,3.56606672E8,6.107624806553305E8,2.813043075E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,11485.367786294442,0.0,0.0,576.9702280666606,0.0
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-8.365941821322137E8,91.0,8.1646868075E8,1151728.7202280664,0.0
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-2.2088744076322136E9,91.0,1.028449241E9,8387539.720228067,7594925.25
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-3.5055937961322136E9,91.0,8.16540305E7,2.1708009970228065E7,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-4.840093603132214E9,91.0,2.875499315E8,2.8943820970228065E7,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-6.178211315632214E9,91.0,4.934458325E8,3.617963197022806E7,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-7.505116197132214E9,91.0,6.85289406E8,4.456659472022806E7,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-8.839616004132214E9,91.0,8.91185307E8,5.180240572022806E7,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-1.0174115811132214E10,91.0,1.0934633025E9,5.542031122022806E7,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-1.1493468429132214E10,91.0,1.502859975E8,6.874078147022805E7,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-1.2831586141632214E10,91.0,3.561818985E8,7.597659247022805E7,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-1.4166085948632214E10,91.0,5.620777995E8,8.321240347022805E7,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-1.5492990830132214E10,91.0,7.53921373E8,9.159936622022805E7,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-1.6827490637132214E10,91.0,9.59817274E8,9.883517722022805E7,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-1.8127827931132214E10,91.0,1.30220635E7,1.1215564747022805E8,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-1.9462327738132214E10,91.0,2.15300059E8,1.1577355297022805E8,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-2.0819460774632214E10,91.0,4.248138655E8,1.2300936397022805E8,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-2.2153960581632214E10,91.0,6.307097665E8,1.3024517497022805E8,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-2.3480865463132214E10,91.0,8.2255334E8,1.3863213772022805E8,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-2.4818983175632214E10,91.0,1.028449241E9,1.4586794872022805E8,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-2.6115702564132214E10,91.0,8.16540305E7,1.5918841897022805E8,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-2.7450202371132214E10,91.0,2.875499315E8,1.6642422997022805E8,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-2.8784702178132214E10,91.0,4.934458325E8,1.7366004097022805E8,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-3.0115224965132214E10,91.0,6.816715005E8,1.7842909822022805E8,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-3.1472358001632214E10,91.0,8.91185307E8,1.8566490922022805E8,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-3.2806857808632214E10,91.0,1.097081208E9,1.9290072022022805E8,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-3.4103577197132214E10,91.0,1.502859975E8,2.0622119047022805E8,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-3.543807700413222E10,91.0,3.561818985E8,2.1345700147022805E8,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-3.677619471663222E10,91.0,5.620777995E8,2.2069281247022805E8,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-3.810309959813222E10,91.0,7.53921373E8,2.2907977522022805E8,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-3.943759940513222E10,91.0,9.59817274E8,2.3631558622022805E8,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-4.075695202313222E10,91.0,1.30220635E7,2.4601815097022805E8,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-4.209506973563222E10,91.0,2.189179645E8,2.5325396197022805E8,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-4.342956954263222E10,91.0,4.248138655E8,2.6048977297022805E8,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-4.476406934963222E10,91.0,6.307097665E8,2.6772558397022805E8,4.53753435E7
7.0,12.356195498343634,11.167561446946978,2.0,2.0,870679.4593813887,75676.70230348631,17.0,-4.609097423113222E10,91.0,8.2255334E8,2.76112546720228E8,4.53753435E7
