,Farm.const_itersMu,Farm.const_itersSigma,Farm.const_number,Farm.const_produced,Farm.const_required,Farm.const_salaryMu,Farm.const_salarySigma,Farm.const_time,Farm.var_capitalMu,Farm.var_employeesMu,Farm.var_goodwillMu,Farm.var_total_value_destroyedMu,Farm.var_valueProducedMu
81,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,72223330.0,1.1329132,-2192708.2,1168.6913,3573791.5
82,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,73859860.0,1.1251011,-2524427.2,1211.6804,3567128.5
83,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,75644180.0,1.1169232,-2855522.8,1252.7966,3598581.0
84,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,77528290.0,1.1086061,-3188358.2,1293.3796,3656366.0
85,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,79474290.0,1.096276,-3513329.2,1331.2642,3684963.0
86,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,81650750.0,1.0813687,-3866264.2,1366.7959,3714458.2
87,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,83958270.0,1.0651718,-4231959.0,1400.8247,3759247.5
88,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,86372430.0,1.0483656,-4611303.0,1434.5269,3820722.8
89,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,89438020.0,1.0395782,-5011058.0,1470.0422,3888709.8
90,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,92870560.0,1.0389882,-5413036.0,1508.732,3957868.8
91,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,96326370.0,1.0422045,-5824580.0,1551.5225,4023912.0
92,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,99904540.0,1.0466968,-6230298.0,1597.8821,4076316.5
93,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,103683360.0,1.0515192,-6634726.0,1647.062,4117674.5
94,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,107634980.0,1.0565684,-7051906.0,1698.5586,4153618.5
95,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,111759140.0,1.0616584,-7481299.0,1752.0349,4185811.5
96,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,116115340.0,1.0676268,-7912596.0,1806.883,4237976.5
97,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,120830290.0,1.0767626,-8314946.0,1862.0581,4367387.5
98,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,125736340.0,1.0873066,-8697554.0,1918.4622,4535214.0
99,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,130825970.0,1.098557,-9081620.0,1976.5598,4722192.0
