,Refinery.const_consumed,Refinery.const_itersMu,Refinery.const_itersSigma,Refinery.const_number,Refinery.const_produced,Refinery.const_salaryMu,Refinery.const_salarySigma,Refinery.const_time,Refinery.var_capitalMu,Refinery.var_employeesMu,Refinery.var_goodwillMu,Refinery.var_total_value_destroyedMu,Refinery.var_valueProducedMu
90,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,3805383700.0,-0.41263306,-1117259.5,1857484.8,3300924.5
91,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,3979557400.0,-0.5250801,-1773030.5,1947539.0,3451929.0
92,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,4160721400.0,-0.6456727,-2464249.0,2041590.4,3607342.0
93,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,4343264000.0,-0.79018867,-3092189.0,2142906.0,3767129.8
94,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,4531519000.0,-0.9423305,-3742426.5,2247962.8,3931169.2
95,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,4726506500.0,-1.055683,-4419919.5,2346479.2,4073307.8
96,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,4932111000.0,-1.1379272,-5043535.5,2435855.5,4217910.0
97,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,5147053000.0,-1.2304474,-5598076.5,2525564.5,4366382.0
98,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,5366948400.0,-1.3354934,-6167603.5,2617297.0,4519268.5
99,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,5592270300.0,-1.45372,-6769205.5,2711069.8,4677032.5
