,Person.const_buyBeef,Person.const_buyBread,Person.const_buyFlour,Person.const_buyFuel,Person.const_buyLand,Person.const_buyMu,Person.const_buyOil,Person.const_buySigma,Person.const_buyWheat,Person.const_consumeBeef,Person.const_consumeBread,Person.const_consumeFlour,Person.const_consumeFuel,Person.const_consumeMu,Person.const_consumeOil,Person.const_consumeSigma,Person.const_consumeWheat,Person.const_enjoyBeefMu,Person.const_enjoyBeefSigma,Person.const_enjoyBreadMu,Person.const_enjoyBreadSigma,Person.const_enjoyFlourMu,Person.const_enjoyFlourSigma,Person.const_enjoyFuelMu,Person.const_enjoyFuelSigma,Person.const_enjoyOilMu,Person.const_enjoyOilSigma,Person.const_enjoyWheatMu,Person.const_enjoyWheatSigma,Person.const_femaleBonusSalMu,Person.const_femaleBonusSalSigma,Person.const_femaleEduMu,Person.const_femaleEduSigma,Person.const_genderMu,Person.const_genderSigma,Person.const_maleBonusSalMu,Person.const_maleBonusSalSigma,Person.const_maleEduMu,Person.const_maleEduSigma,Person.const_number,Person.var_capitalMu,Person.var_happinessMu,Person.var_salaryMu,Person.var_total_value_destroyedMu
33,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,135013470.0,100917.4,1742773.0,130663970.0
34,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,77627230.0,93845.68,1751727.0,114828430.0
35,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,7520928.0,85003.77,1757801.5,97966800.0
36,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,-73505060.0,72422.26,1750729.2,81452130.0
37,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,-159885120.0,57676.035,1737352.2,61801760.0
38,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,-243205950.0,46763.137,1745374.2,39315340.0
39,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,-326975420.0,37910.09,1760597.0,17330556.0
40,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,-405531700.0,31423.768,1792147.8,-2014038.0
41,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,-474493500.0,26762.582,1835009.0,-17649588.0
42,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,-537552900.0,22953.295,1882493.0,-29882960.0
43,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,-590080800.0,19687.82,1941423.0,-39643316.0
