const_price,const_units
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
5734571.2727654185,861.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
1243204.2701045696,597.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
